Player,height,weight,collage,born,birth_city,birth_state
Zydrunas Ilgauskas,221,107,,1975,Kaunas,Lithuania
Zoran Planinic,201,88,,1982,Mostar,Bosnia and Herzegovina
Zoran Dragic,196,90,,1989,Ljubljana,Slovenia
Zendon Hamilton,211,113,St. John's University,1975,Floral Park,New York
Zelmo Beaty*,206,102,Prairie View A&M University,1939,Hillister,Texas
Zeljko Rebraca,213,116,,1972,Apatin,Serbia
Zeke Zawoluk,201,97,St. John's University,1930,Brooklyn,New York
Zeke Sinicola,178,74,Niagara University,1929,,
Zaza Pachulia,211,122,,1984,Tbilisi,Georgia
Zarko Paspalj,206,97,,1966,Pljevlja,Montenegro
Zarko Cabarkapa,211,106,,1981,Zrenjanin,Serbia
Zan Tabak,213,111,,1970,Split,Croatia
Zaid Abdul-Aziz,206,106,Iowa State University,1946,Brooklyn,New York
Zach Randolph,206,117,Michigan State University,1981,Marion,Indiana
Zach LaVine,196,85,"University of California, Los Angeles",1995,Renton,Washington
Zabian Dowdell,190,86,Virginia Polytechnic Institute and State University,1984,Pahokee,Florida
Yvon Joseph,211,111,Georgia Institute of Technology,1957,Cap-Haitian,Haiti
Yuta Tabuse,175,74,Brigham Young University Hawaii,1980,Yokohama,Japan
York Larese,193,83,University of North Carolina,1938,New York,New York
Yogi Ferrell,183,81,Indiana University,1993,Indianapolis,Indiana
Yinka Dare,213,120,George Washington University,1972,Kano,Nigeria
Yi Jianlian,213,108,,1987,He Shan,China
Yaroslav Korolev,206,92,,1987,Moscow,Russia
Yao Ming*,229,140,,1980,Shanghai,China
Yakhouba Diawara,201,102,Pepperdine University,1982,Paris,France
Xavier Silas,196,92,Northern Illinois University,1988,San Antonio,Texas
Xavier Munford,196,90,,1996,,
Xavier McDaniel,201,92,Wichita State University,1963,Columbia,South Carolina
Xavier Henry,198,99,University of Kansas,1991,Gent,Belgium
Worthy Patterson,188,79,University of Connecticut,1931,New Haven,Connecticut
World B.,206,97,,1952,,
Woody Sauldsberry,201,99,Texas Southern University,1934,Winnsboro,Louisiana
Winston Garland,188,77,Missouri State University,1964,Gary,Indiana
Winston Crite,201,105,Texas A&M University,1965,Bakersfield,California
Winston Bennett,201,95,University of Kentucky,1965,Louisville,Kentucky
Winford Boynes,198,83,University of San Francisco,1957,Greenville,South Carolina
Win Wilfong,188,83,University of Memphis,1933,,
Wilt Chamberlain*,216,124,University of Kansas,1936,Philadelphia,Pennsylvania
Wilson Washington,206,102,Old Dominion University,1955,Norfolk,Virginia
Wilson Chandler,203,102,DePaul University,1987,Benton Harbor,Michigan
Willy Hernangomez,211,108,,1994,Madrid,Spain
Willis Reed*,206,106,Grambling State University,1942,Hico,Louisiana
Willie Wise,196,95,Drake University,1947,San Francisco,California
Willie Williams,201,90,Florida State University,1946,,
Willie White,190,88,University of Tennessee at Chattanooga,1962,Memphis,Tennessee
Willie Warren,193,92,University of Oklahoma,1989,Dallas,Texas
Willie Somerset,173,77,Duquesne University,1942,Sharon,Pennsylvania
Willie Smith,213,99,Syracuse University,1949,,
Willie Reed,206,106,Grambling State University,1942,Hico,Louisiana
Willie Norwood,201,99,Alcorn State University,1947,Carrolton,Mississippi
Willie Naulls,198,102,"University of California, Los Angeles",1934,Dallas,Texas
Willie McCarter,190,79,Drake University,1946,Gary,Indiana
Willie Jones,190,83,Northwestern University,1936,,
Willie Green,193,90,University of Detroit Mercy,1981,Detroit,Michigan
Willie Cauley-Stein,213,108,University of Kentucky,1993,Spearville,Kansas
Willie Burton,203,95,University of Minnesota,1968,Detroit,Michigan
Willie Anderson,201,86,University of Georgia,1967,Greenville,South Carolina
William Smith,213,99,Syracuse University,1949,,
William Cunningham,211,113,Temple University,1974,Augusta,Georgia
William Bedford,213,102,University of Memphis,1963,Memphis,Tennessee
William Avery,188,89,Duke University,1979,Augusta,Georgia
Will Solomon,185,83,Clemson University,1978,Hartford,Connecticut
Will Perdue,213,108,Vanderbilt University,1965,Melbourne,Florida
Will Frazier,201,95,Grambling State University,1942,Minden,Louisiana
Will Conroy,188,88,University of Washington,1982,Portland,Oregon
Will Cherry,183,83,University of Montana,1991,Oakland,California
Will Bynum,183,83,Georgia Institute of Technology,1983,Chicago,Illinois
Will Blalock,183,92,Iowa State University,1983,Boston,Massachusetts
Will Barton,198,79,University of Memphis,1991,Baltimore,Maryland
Wiley Peck,201,99,Mississippi State University,1957,Montgomery,Alabama
Wilbur Holland,183,79,University of New Orleans,1951,Columbus,Georgia
Wil Jones,190,83,Northwestern University,1936,,
Whitey Von,193,92,,1921,,
Whitey Skoog,180,81,University of Minnesota,1926,Duluth,Minnesota
Whitey Martin,188,83,St. Bonaventure University,1939,,
Whitey Bell,183,81,North Carolina State University,1932,Monticello,Kentucky
Wesley Person,198,88,Auburn University,1971,Crenshaw,Alabama
Wesley Matthews,185,77,University of Wisconsin,1959,Sarasota,Florida
Wesley Johnson,201,97,Syracuse University,1987,Corsicana,Texas
Wesley Cox,198,97,University of Louisville,1955,Louisville,Kentucky
Wes Unseld*,201,111,University of Louisville,1946,Louisville,Kentucky
Wes Matthews,185,77,University of Wisconsin,1959,Sarasota,Florida
Wayne Yates,203,106,University of Memphis,1937,,
Wayne Turner,188,86,University of Kentucky,1976,Boston,Massachusetts
Wayne Stevens,190,83,University of Cincinnati,1936,,
Wayne Simien,206,115,University of Kansas,1983,Leavenworth,Kansas
Wayne Selden,196,104,University of Kansas,1994,Roxbury,Massachusetts
Wayne See,190,86,Northern Arizona University,1923,Clemenceau,Arizona
Wayne Sappleton,206,97,Loyola University of Chicago,1960,Kingston,Jamaica
Wayne Robinson,203,98,Virginia Polytechnic Institute and State University,1958,Greensboro,North Carolina
Wayne Radford,190,92,Indiana University,1956,Indianapolis,Indiana
Wayne Molis,203,104,Lewis University,1943,Chicago,Illinois
Wayne Kreklow,193,79,Drake University,1957,Neenah,Wisconsin
Wayne Hightower,203,87,University of Kansas,1940,Philadelphia,Pennsylvania
Wayne Englestad,203,111,"University of California, Irvine",1966,Rosemead,California
Wayne Embry*,203,108,Miami University,1937,Springfield,Ohio
