name,year_start,year_end,position,height,weight,birth_date,college
A.C. Green,1986,2001,F-C,06-Sep,220,"October 4, 1963",Oregon State University
A.J. Bramlett,2000,2000,C,06-Oct,227,"January 10, 1977",University of Arizona
A.J. English,1991,1992,G,06-Mar,175,"July 11, 1967",Virginia Union University
A.J. Guyton,2001,2003,G,06-Jan,180,"February 12, 1978",Indiana University
A.J. Hammons,2017,2017,C,7-0,260,"August 27, 1992",Purdue University
A.J. Price,2010,2015,G,06-Feb,181,"October 7, 1986",University of Connecticut
A.J. Wynder,1991,1991,G,06-Feb,180,"September 11, 1964",Fairfield University
A.W. Holt,1971,1971,F,06-Jul,210,"August 26, 1946",Jackson State University
Aaron Brooks,2008,2018,G,6-0,161,"January 14, 1985",University of Oregon
Aaron Gordon,2015,2018,F,06-Sep,220,"September 16, 1995",University of Arizona
Aaron Gray,2008,2014,C,7-0,270,"December 7, 1984",University of Pittsburgh
Aaron Harrison,2016,2017,G,06-Jun,210,"October 28, 1994",University of Kentucky
Aaron James,1975,1979,F,06-Aug,210,"October 5, 1952",Grambling State University
Aaron McKie,1995,2007,G,06-May,209,"October 2, 1972",Temple University
Aaron Miles,2006,2006,G,06-Jan,175,"April 13, 1983",University of Kansas
Aaron Swinson,1995,1995,F,06-May,230,"January 9, 1971",Auburn University
Aaron Williams,1994,2008,F-C,06-Sep,220,"October 2, 1971",Xavier University
Abdel Nader,2018,2018,F,06-Jun,230,"September 25, 1993",Iowa State University
Abdul Jeelani,1980,1981,F-C,06-Aug,210,"February 10, 1954",University of Wisconsin-Parkside
Acie Earl,1994,1997,F-C,06-Oct,240,"June 23, 1970",University of Iowa
Acie Law,2008,2011,G,06-Mar,195,"January 25, 1985",Texas A&M University
Adam Harrington,2003,2003,G,06-May,200,"July 5, 1980",Auburn University
Adam Keefe,1993,2001,F,06-Sep,230,"February 22, 1970",Stanford University
Adam Morrison,2007,2010,F,06-Aug,205,"July 19, 1984",Gonzaga University
Adonal Foyle,1998,2009,C,06-Oct,250,"March 9, 1975",Colgate University
Adonis Jordan,1994,1999,G,05-Nov,170,"August 21, 1970",University of Kansas
Adonis Thomas,2014,2014,F,06-Jul,200,"March 25, 1993",University of Memphis
Adreian Payne,2015,2018,F-C,06-Oct,237,"February 19, 1991",Michigan State University
Adrian Branch,1987,1990,F-G,06-Jul,185,"November 17, 1963",University of Maryland
Adrian Caldwell,1990,1998,F-C,06-Aug,265,"July 4, 1966",Lamar University
Adrian Dantley,1977,1991,F-G,06-May,208,"February 28, 1956",University of Notre Dame
Adrian Griffin,2000,2008,G-F,06-May,217,"July 4, 1974",Seton Hall University
Adrian Smith,1962,1972,G,06-Jan,180,"October 5, 1936",University of Kentucky
Al Attles,1961,1971,G,6-0,175,"November 7, 1936",North Carolina Agricultural and Technical State University
Al Beard,1968,1968,C,06-Sep,200,"April 27, 1942",Norfolk State University
Al Bianchi,1957,1966,G,06-Mar,185,"March 26, 1932",Bowling Green State University
Al Brightman,1947,1947,F,06-Feb,195,"September 22, 1923",University of Charleston
